name,nomenclature,synonym,family,group,legal,rlg,rlb,neophyte,sociology,l,t,k,f,fchange,r,n,targetHerb,targetGrass,targetArrhenatherion,ffh6510,ffh6210,table30,table33,table34,nitrogenIndicator,nitrogenIndicator2,grazingIndicator,ruderalIndicator,others
Arabis_hirsuta,http://www.worldfloraonline.org/taxon/wfo-0000542279,na,Brassicaceae,herb,na,V,na,no,5320,7,5,3,4,1,8,na,yes,no,no,no,yes,NA,3,NA,no,no,no,no,no
Arenaria_serpyllifolia,http://www.worldfloraonline.org/taxon/wfo-0000546651,na,Caryophyllaceae,herb,na,na,na,no,na,8,na,na,4,na,7,na,yes,no,no,no,no,NA,3,NA,no,no,no,no,no
Arrhenatherum_elatius,http://www.worldfloraonline.org/taxon/wfo-0000849608,na,Poaceae,top-grass,na,na,na,no,5421,8,5,3,5,na,7,7,no,yes,yes,yes,no,NA,NA,NA,no,no,no,no,no
Artemisia_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000115588,na,Asteraceae,herb,na,na,na,no,3500,7,6,na,6,na,na,8,no,no,no,no,no,NA,NA,NA,no,no,no,yes,no
Astragalus_glycyphyllos,http://www.worldfloraonline.org/taxon/wfo-0000213564,na,Fabaceae,legume,na,na,na,no,6110,6,6,4,4,na,7,3,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Barbarea_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000560064,na,Brassicaceae,herb,na,na,na,no,3811,8,6,3,6,na,na,6,no,no,no,no,no,NA,NA,NA,no,no,no,yes,no
Bellis_perennis,http://www.worldfloraonline.org/taxon/wfo-0000072578,na,Asteraceae,herb,na,na,na,no,5420,8,na,2,5,na,na,6,no,no,no,no,no,NA,NA,NA,no,no,yes,no,no
Brachypodium_pinnatum,http://www.worldfloraonline.org/taxon/wfo-0000854513,na,Poaceae,top-grass,na,na,na,no,5300,6,6,5,4,na,7,4,no,yes,no,no,yes,NA,3,NA,no,no,no,no,no
Brassica_rapa,http://www.worldfloraonline.org/taxon/wfo-0000571544,na,Brassicaceae,herb,na,na,na,no,na,na,na,na,na,na,na,na,no,no,no,no,no,NA,NA,NA,no,no,no,yes,no
Briza_media,http://www.worldfloraonline.org/taxon/wfo-0000854755,na,Poaceae,sub-grass,na,na,na,no,5000,8,na,3,na,na,na,2,no,yes,no,yes,yes,3,4,NA,no,no,no,no,no
Bromus_erectus,http://www.worldfloraonline.org/taxon/wfo-0000855493,na,Poaceae,top-grass,na,na,na,no,5320,8,5,2,3,na,8,3,no,yes,no,no,yes,NA,3,NA,no,no,no,no,no
Bromus_hordeaceus,http://www.worldfloraonline.org/taxon/wfo-0000855692,na,Poaceae,top-grass,na,na,na,no,na,7,6,4,na,1,na,3,no,yes,no,yes,no,NA,NA,NA,no,no,no,no,no
Bromus_inermis,http://www.worldfloraonline.org/taxon/wfo-0000855743,na,Poaceae,top-grass,na,na,na,no,na,8,na,7,4,1,8,5,no,yes,no,no,no,NA,NA,NA,no,no,no,no,no
Bromus_sterilis,http://www.worldfloraonline.org/taxon/wfo-0000856589,na,Poaceae,sub-grass,na,na,na,no,3331,7,6,4,4,na,na,5,no,no,no,no,no,NA,NA,NA,no,no,no,yes,no
Calamagrostis_epigejos,http://www.worldfloraonline.org/taxon/wfo-0000857259,na,Poaceae,top-grass,na,na,na,no,na,7,5,7,na,1,na,6,no,no,no,no,no,NA,NA,NA,no,yes,no,no,yes
Calystegia_sepium,http://www.worldfloraonline.org/taxon/wfo-0001296723,na,Convolvulaceae,herb,na,na,na,no,3520,8,6,5,6,na,7,9,no,no,no,no,no,NA,NA,NA,no,yes,no,no,yes
Campanula_glomerata,http://www.worldfloraonline.org/taxon/wfo-0000827269,na,Campanulaceae,herb,na,3,na,no,5300,7,na,7,4,na,7,na,yes,no,no,no,yes,NA,3,NA,no,no,no,no,no
Campanula_patula,http://www.worldfloraonline.org/taxon/wfo-0000828061,na,Campanulaceae,herb,na,V,na,no,5421,8,6,4,5,na,7,5,yes,no,yes,yes,no,NA,NA,NA,no,no,no,no,no
Campanula_rapunculoides,http://www.worldfloraonline.org/taxon/wfo-0000828416,na,Campanulaceae,herb,na,na,na,no,6112,6,6,4,4,na,7,4,yes,no,no,no,no,NA,3,NA,no,no,no,no,no
Campanula_rotundifolia,http://www.worldfloraonline.org/taxon/wfo-0000828550,na,Campanulaceae,herb,na,na,na,no,na,7,5,na,na,na,na,2,yes,no,no,no,no,NA,3,NA,no,no,no,no,no
Campanula_trachelium,http://www.worldfloraonline.org/taxon/wfo-0000829176,na,Campanulaceae,herb,na,na,na,no,8430,4,na,3,6,na,8,8,no,no,no,no,no,NA,NA,NA,no,no,no,no,yes
Capsella_bursa-pastoris,http://www.worldfloraonline.org/taxon/wfo-0000585589,na,Brassicaceae,herb,na,na,na,no,3300,7,na,na,5,na,na,6,no,no,no,no,no,NA,NA,NA,no,no,no,yes,no
Carduus_acanthoides,http://www.worldfloraonline.org/taxon/wfo-0000114356,na,Asteraceae,herb,na,na,na,no,3540,9,5,6,4,na,8,7,no,no,no,no,no,NA,NA,NA,no,no,no,yes,no
Carex_acutiformis,http://www.worldfloraonline.org/taxon/wfo-0000344201,na,Cyperaceae,sedge,na,na,na,no,na,7,na,3,9,1,7,5,no,yes,no,no,no,4,NA,NA,no,no,no,no,no
Carex_caryophyllea,http://www.worldfloraonline.org/taxon/wfo-0000345352,na,Cyperaceae,sedge,na,V,na,no,5320,8,na,3,4,na,na,2,no,yes,no,no,yes,NA,3,3,no,no,no,no,no
Carex_digitata,http://www.worldfloraonline.org/taxon/wfo-0000346034,na,Cyperaceae,sedge,na,na,na,no,8400,3,na,4,5,na,na,4,no,yes,no,no,no,NA,NA,NA,no,no,no,no,no
Carex_flacca,http://www.worldfloraonline.org/taxon/wfo-0000346645,na,Cyperaceae,sedge,na,na,na,no,na,7,na,3,6,1,8,na,no,yes,no,no,no,NA,3,NA,no,no,no,no,no
Carex_hirta,http://www.worldfloraonline.org/taxon/wfo-0000347452,na,Cyperaceae,sedge,na,na,na,no,3810,7,6,3,6,1,na,5,no,yes,no,no,no,NA,NA,NA,no,no,no,no,no
Carex_montana,http://www.worldfloraonline.org/taxon/wfo-0000348977,na,Cyperaceae,sedge,na,na,na,no,na,5,na,4,4,na,6,3,no,yes,no,no,yes,NA,3,NA,no,no,no,no,no
Carex_muricata,http://www.worldfloraonline.org/taxon/wfo-0000349075,na,Cyperaceae,sedge,na,na,na,no,6210,7,6,3,4,na,na,6,no,yes,no,no,no,NA,NA,NA,no,no,no,no,no
Carex_panicea,http://www.worldfloraonline.org/taxon/wfo-0000349728,na,Cyperaceae,sedge,na,V,na,no,1700,8,na,3,8,1,na,4,no,yes,no,no,no,2,NA,NA,no,no,no,no,no
Carex_praecox_ssp_curvata,http://www.worldfloraonline.org/taxon/wfo-0000350214,Carex_curvata,Cyperaceae,sedge,na,D,3,no,3611,na,na,na,na,na,na,na,no,yes,no,no,no,NA,NA,NA,no,no,no,no,no
Carex_praecox_ssp_praecox,http://www.worldfloraonline.org/taxon/wfo-0000350207,Carex_praecox,Cyperaceae,sedge,na,V,3,no,3611,9,6,6,3,1,na,4,no,yes,no,no,no,NA,3,NA,no,no,no,no,no
Carex_sylvatica,http://www.worldfloraonline.org/taxon/wfo-0000351795,na,Cyperaceae,sedge,na,na,na,no,8430,2,5,3,5,na,6,5,no,no,no,no,no,NA,NA,NA,no,no,no,no,no
Carum_carvi,http://www.worldfloraonline.org/taxon/wfo-0000588460,na,Apiaceae,herb,na,na,na,no,5420,8,4,5,5,na,na,6,yes,no,no,yes,no,NA,NA,NA,no,no,no,no,no
Centaurea_jacea,http://www.worldfloraonline.org/taxon/wfo-0000095537,na,Asteraceae,herb,na,na,na,no,5000,7,na,5,na,na,na,na,yes,no,yes,yes,no,NA,4,NA,no,no,no,no,no
Centaurea_scabiosa,http://www.worldfloraonline.org/taxon/wfo-0000013986,na,Asteraceae,herb,na,na,na,no,5300,7,na,3,3,na,8,4,yes,no,no,no,yes,NA,2,NA,no,no,no,no,no
Centaurea_stoebe,http://www.worldfloraonline.org/taxon/wfo-0000021390,na,Asteraceae,herb,na,na,3,no,na,na,na,na,na,na,na,na,yes,no,no,no,no,NA,3,NA,no,no,no,no,no
Centaurium_erythraea,http://www.worldfloraonline.org/taxon/wfo-0000593916,na,Gentianaceae,herb,BG,na,na,no,6210,8,6,5,5,na,6,6,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Cerastium_arvense,http://www.worldfloraonline.org/taxon/wfo-0000595158,na,Caryophyllaceae,herb,na,na,na,no,na,8,na,5,4,na,6,4,yes,no,no,no,no,NA,4,NA,no,no,no,no,no
Cerastium_fontanum_ssp_vulgare,http://www.worldfloraonline.org/taxon/wfo-0000595577,Cerastium_holosteoides,Caryophyllaceae,herb,na,na,na,no,5400,6,na,na,5,na,na,5,yes,no,no,yes,no,NA,NA,NA,no,no,no,no,no
Cerastium_glomeratum,http://www.worldfloraonline.org/taxon/wfo-0000595603,na,Caryophyllaceae,herb,na,na,na,no,3000,7,5,3,5,na,5,5,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Chaerophyllum_bulbosum,http://www.worldfloraonline.org/taxon/wfo-0000598957,na,Apiaceae,herb,na,na,na,no,3531,7,6,5,7,na,8,8,no,no,no,no,no,NA,NA,NA,no,yes,no,no,yes
Chenopodium_album,http://www.worldfloraonline.org/taxon/wfo-0000600897,na,Amaranthaceae,herb,na,na,na,no,3300,na,na,na,4,na,na,7,no,no,no,no,no,NA,NA,NA,no,no,no,yes,no
Cichorium_intybus,http://www.worldfloraonline.org/taxon/wfo-0000080671,na,Asteraceae,herb,na,na,na,no,3000,9,6,5,4,na,8,5,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Cirsium_arvense,http://www.worldfloraonline.org/taxon/wfo-0000006870,na,Asteraceae,herb,na,na,na,no,3000,8,5,na,na,na,na,7,no,no,no,no,no,NA,NA,NA,no,no,no,yes,no
Cirsium_oleraceum,http://www.worldfloraonline.org/taxon/wfo-0000063143,na,Asteraceae,herb,na,na,na,no,5415,6,na,3,7,na,8,5,yes,no,no,no,no,4,NA,NA,no,no,no,no,no
Cirsium_vulgare,http://www.worldfloraonline.org/taxon/wfo-0000081703,na,Asteraceae,herb,na,na,na,no,3500,8,5,3,5,na,7,8,no,no,no,no,no,NA,NA,NA,no,no,no,yes,no
Clinopodium_vulgare,http://www.worldfloraonline.org/taxon/wfo-0000893535,na,Lamiaceae,herb,na,na,na,no,6110,7,na,3,4,na,7,3,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Colchicum_autumnale,http://www.worldfloraonline.org/taxon/wfo-0000763824,na,Colchicaceae,herb,na,na,na,no,5400,6,5,2,6,1,7,na,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Convolvulus_arvensis,http://www.worldfloraonline.org/taxon/wfo-0001296633,na,Convolvulaceae,herb,na,na,na,no,3611,7,6,4,na,7,na,,no,no,no,no,no,NA,NA,NA,no,yes,no,no,yes
Cota_tinctoria,http://www.worldfloraonline.org/taxon/wfo-0000076814,Anthemis_tinctoria,Asteraceae,herb,na,na,na,no,3611,8,6,5,3,na,6,4,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Crepis_biennis,http://www.worldfloraonline.org/taxon/wfo-0000061510,na,Asteraceae,herb,na,na,na,no,5421,7,5,3,5,na,6,5,yes,no,yes,yes,no,NA,NA,NA,no,no,no,no,no
Crepis_capillaris,http://www.worldfloraonline.org/taxon/wfo-0000030643,na,Asteraceae,herb,na,na,na,no,5423,7,6,2,5,na,6,4,no,no,no,no,no,NA,NA,NA,no,no,yes,no,no
Cyanus_segetum,http://www.worldfloraonline.org/taxon/wfo-0000071996,Centaurea_cyanus,Asteraceae,herb,na,V,na,no,3420,7,6,5,na,na,na,na,no,no,no,no,no,NA,NA,NA,no,no,no,yes,no
Cynodon_dactylon,http://www.worldfloraonline.org/taxon/wfo-0000861178,na,Poaceae,sub-grass,na,na,na,yes,3711,8,7,3,4,na,na,5,no,no,no,no,no,NA,NA,NA,no,no,no,no,no
Cynosurus_cristatus,http://www.worldfloraonline.org/taxon/wfo-0000861316,na,Poaceae,sub-grass,na,na,na,no,5423,8,5,3,5,na,na,4,no,yes,no,yes,no,NA,NA,NA,no,no,no,no,no
Dactylis_glomerata,http://www.worldfloraonline.org/taxon/wfo-0000861498,na,Poaceae,top-grass,na,na,na,no,na,7,na,3,5,na,na,6,no,yes,no,no,no,NA,NA,NA,no,no,no,no,no
Daucus_carota,http://www.worldfloraonline.org/taxon/wfo-0000638442,na,Apiaceae,herb,na,na,na,no,3542,8,6,5,4,na,na,4,yes,no,no,yes,no,NA,NA,NA,no,no,no,no,no
Deschampsia_cespitosa,http://www.worldfloraonline.org/taxon/wfo-0000862467,na,Poaceae,top-grass,na,na,na,no,na,6,na,na,7,1,na,3,no,yes,no,no,no,NA,NA,NA,no,no,no,no,no
Dianthus_carthusianorum,http://www.worldfloraonline.org/taxon/wfo-0000643249,na,Caryophyllaceae,herb,BG,V,na,no,5320,8,5,4,3,na,7,2,yes,no,no,no,yes,NA,3,3,no,no,no,no,no
Dianthus_deltoides,http://www.worldfloraonline.org/taxon/wfo-0000643427,na,Caryophyllaceae,herb,BG,V,na,no,5112,8,5,4,3,na,3,2,yes,no,no,no,no,NA,3,3,no,no,no,no,no
Dipsacus_fullonum,http://www.worldfloraonline.org/taxon/wfo-0000651022,na,Caprifoliaceae,herb,na,na,na,no,3500,9,6,3,6,1,8,7,no,no,no,no,no,NA,NA,NA,no,no,no,yes,no
Echium_vulgare,http://www.worldfloraonline.org/taxon/wfo-0000663145,na,Boraginaceae,herb,na,na,na,no,3542,9,6,3,4,na,8,4,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Elymus_repens,http://www.worldfloraonline.org/taxon/wfo-0000866643,Agropyron_repens,Poaceae,top-grass,na,na,na,no,3610,7,6,7,na,1,na,7,no,no,no,no,no,NA,NA,NA,no,no,no,no,yes
Equisetum_arvense,http://www.worldfloraonline.org/taxon/wfo-0001108914,na,Equisetaceae,herb,na,na,na,no,na,6,na,na,6,1,na,3,no,no,no,no,no,NA,NA,NA,no,no,no,yes,no
Erigeron_annuus,http://www.worldfloraonline.org/taxon/wfo-0000069875,na,Asteraceae,herb,na,na,na,yes,3500,7,6,na,6,na,na,8,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Erophila_verna,http://www.worldfloraonline.org/taxon/wfo-0000677261,Draba_verna,Brassicaceae,herb,BG,na,na,no,5200,8,6,3,na,na,na,2,no,no,no,no,no,NA,NA,NA,no,no,no,yes,no
Euphorbia_cyparissias,http://www.worldfloraonline.org/taxon/wfo-0000961626,na,Euphorbiaceae,herb,na,na,na,no,5300,8,na,4,3,na,na,3,yes,no,no,no,no,NA,4,NA,no,no,no,no,no
Euphorbia_esula,http://www.worldfloraonline.org/taxon/wfo-0000961974,na,Euphorbiaceae,herb,na,na,3,no,na,8,6,5,4,na,8,na,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Euphorbia_verrucosa,http://www.worldfloraonline.org/taxon/wfo-0000965311,na,Euphorbiaceae,herb,na,V,na,no,5322,8,6,2,3,na,9,3,yes,no,no,no,yes,NA,NA,3,no,no,no,no,no
Falcaria_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000685760,na,Apiaceae,herb,na,na,na,no,3611,7,7,6,3,na,9,na,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Festuca_arundinacea,http://www.worldfloraonline.org/taxon/wfo-0000869819,na,Poaceae,top-grass,na,na,na,no,3811,8,5,na,7,1,7,4,no,yes,no,no,no,4,NA,NA,no,no,no,no,no
Festuca_ovina,http://www.worldfloraonline.org/taxon/wfo-0000871222,na,Poaceae,sub-grass,na,na,na,no,na,9,7,4,2,na,na,1,no,yes,no,no,yes,NA,3,NA,no,no,no,no,no
Festuca_pratensis,http://www.worldfloraonline.org/taxon/wfo-0000871673,na,Poaceae,top-grass,na,na,na,no,5400,8,na,3,6,na,na,6,no,yes,no,yes,no,NA,NA,NA,no,no,no,no,no
Festuca_rubra,http://www.worldfloraonline.org/taxon/wfo-0000871854,na,Poaceae,sub-grass,na,na,na,no,5400,na,na,na,na,na,na,na,no,yes,no,yes,no,NA,4,NA,no,no,no,no,no
Filipendula_ulmaria,http://www.worldfloraonline.org/taxon/wfo-0000983427,na,Rosaceae,herb,na,na,na,no,5412,7,5,na,8,na,na,4,no,no,no,no,no,3,NA,NA,no,no,no,no,yes
Filipendula_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000999867,na,Rosaceae,herb,na,3,3,no,8423,7,6,5,3,1,8,2,yes,no,no,no,yes,NA,NA,3,no,no,no,no,no
Fragaria_vesca,http://www.worldfloraonline.org/taxon/wfo-0000993770,na,Rosaceae,herb,na,na,na,no,6200,7,na,5,5,na,na,6,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Galium_mollugo,http://www.worldfloraonline.org/taxon/wfo-0000969499,na,Rubiaceae,herb,na,D,na,no,5421,7,6,3,4,na,7,na,yes,no,yes,yes,no,NA,NA,NA,no,no,no,no,no
Galium_verum,http://www.worldfloraonline.org/taxon/wfo-0000970562,na,Rubiaceae,herb,na,na,na,no,5300,7,6,na,4,1,7,3,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Geranium_dissectum,http://www.worldfloraonline.org/taxon/wfo-0000700368,na,Geraniaceae,herb,na,na,na,no,3311,6,6,3,5,na,8,5,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Geranium_molle,http://www.worldfloraonline.org/taxon/wfo-0000700868,na,Geraniaceae,herb,na,na,na,no,5423,7,6,3,4,na,5,4,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Geranium_pratense,http://www.worldfloraonline.org/taxon/wfo-0000701108,na,Geraniaceae,herb,na,na,na,no,5421,8,6,5,5,na,8,7,yes,no,yes,no,no,NA,NA,NA,no,no,no,no,no
Geranium_pusillum,http://www.worldfloraonline.org/taxon/wfo-0000701157,na,Geraniaceae,herb,na,na,na,no,3300,7,6,5,4,na,na,7,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Geranium_pyrenaicum,http://www.worldfloraonline.org/taxon/wfo-0000701169,na,Geraniaceae,herb,na,na,na,yes,3500,8,6,4,5,na,7,8,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Geum_urbanum,http://www.worldfloraonline.org/taxon/wfo-0001013476,na,Rosaceae,herb,na,na,na,no,8430,4,5,5,5,na,na,7,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Glechoma_hederacea,http://www.worldfloraonline.org/taxon/wfo-0000972872,na,Lamiaceae,herb,na,na,na,no,3530,6,6,3,6,na,na,7,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Helianthemum_nummularium,http://www.worldfloraonline.org/taxon/wfo-0000717621,na,Cistaceae,herb,na,3,3,no,5300,7,6,4,3,na,7,1,yes,no,no,no,yes,NA,2,NA,no,no,no,no,no
Helictotrichon_pubescens,http://www.worldfloraonline.org/taxon/wfo-0000873950,Avenochloa_pubescens,Poaceae,top-grass,na,na,na,no,5420,5,na,3,na,na,na,4,no,yes,no,yes,no,NA,NA,NA,no,no,no,no,no
Heracleum_sphondylium,http://www.worldfloraonline.org/taxon/wfo-0000720220,na,Apiaceae,herb,na,na,na,no,5420,7,5,2,5,na,na,8,no,no,no,no,no,NA,NA,NA,yes,yes,no,no,no
Hippocrepis_comosa,http://www.worldfloraonline.org/taxon/wfo-0000213796,na,Fabaceae,legume,na,V,na,no,5320,7,5,2,3,na,7,2,yes,no,no,no,yes,NA,NA,NA,no,no,no,no,no
Holcus_lanatus,http://www.worldfloraonline.org/taxon/wfo-0000874509,na,Poaceae,sub-grass,na,na,na,no,5400,7,6,3,6,na,na,4,no,yes,no,yes,no,4,NA,NA,no,no,no,no,no
Hypericum_perforatum,http://www.worldfloraonline.org/taxon/wfo-0000728093,na,Hypericaceae,herb,na,na,na,no,6100,7,6,5,4,na,6,3,yes,no,no,no,no,NA,4,NA,no,no,no,no,no
Hypochaeris_radicata,http://www.worldfloraonline.org/taxon/wfo-0000074809,na,Asteraceae,herb,na,na,na,no,5000,8,5,3,5,na,4,3,yes,no,no,no,no,NA,4,NA,no,no,no,no,no
Jacobaea_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000031875,Senecio_jacobaea,Asteraceae,herb,na,na,na,no,5423,8,5,3,4,1,7,5,no,no,no,no,no,NA,NA,NA,no,no,no,no,yes
Knautia_arvensis,http://www.worldfloraonline.org/taxon/wfo-0000356720,na,Caprifoliaceae,herb,na,na,na,no,5420,7,6,3,4,na,na,4,yes,no,yes,yes,no,NA,NA,NA,no,no,no,no,no
Koeleria_pyramidata,http://www.worldfloraonline.org/taxon/wfo-0000877284,na,Poaceae,sub-grass,na,V,na,no,5320,7,6,4,4,na,7,2,no,yes,no,no,yes,NA,2,NA,no,no,no,no,no
Lactuca_serriola,http://www.worldfloraonline.org/taxon/wfo-0000015140,na,Asteraceae,herb,na,na,na,no,3000,9,7,7,4,na,na,4,no,no,no,no,no,NA,NA,NA,no,no,no,yes,no
Lathyrus_pratensis,http://www.worldfloraonline.org/taxon/wfo-0000212701,na,Fabaceae,legume,na,na,na,no,5400,7,5,na,6,na,7,6,yes,no,no,yes,no,NA,NA,NA,no,no,no,no,no
Lathyrus_sylvestris,http://www.worldfloraonline.org/taxon/wfo-0000213824,na,Fabaceae,legume,na,na,na,no,6110,7,6,4,4,na,8,2,no,no,no,no,no,NA,NA,NA,no,no,no,no,yes
Leontodon_hispidus,http://www.worldfloraonline.org/taxon/wfo-0000018147,na,Asteraceae,herb,na,na,na,no,5000,8,na,3,5,na,7,6,yes,no,no,no,no,NA,4,NA,no,no,no,no,no
Lepidium_ruderale,http://www.worldfloraonline.org/taxon/wfo-0000358755,na,Brassicaceae,herb,na,na,na,no,3711,9,6,7,4,na,na,6,no,no,no,no,no,NA,NA,NA,no,no,no,yes,no
Leucanthemum_vulgare,http://www.worldfloraonline.org/taxon/wfo-0000036932,na,Asteraceae,herb,na,na,na,no,5420,7,na,3,4,na,na,3,yes,no,no,yes,no,NA,4,NA,no,no,no,no,no
Linaria_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000446438,na,Plantaginaceae,herb,na,na,na,no,3540,8,6,5,4,na,7,5,no,no,no,no,no,NA,NA,NA,no,no,no,yes,no
Linum_catharticum,http://www.worldfloraonline.org/taxon/wfo-0000363831,na,Linaceae,herb,BG,na,na,no,5410,7,na,3,na,na,7,2,yes,no,no,no,yes,NA,3,NA,no,no,no,no,no
Lolium_perenne,http://www.worldfloraonline.org/taxon/wfo-0000878441,na,Poaceae,sub-grass,na,na,na,no,5423,8,6,3,5,na,7,7,no,no,no,no,no,NA,NA,NA,yes,yes,yes,no,no
Lotus_corniculatus,http://www.worldfloraonline.org/taxon/wfo-0000212180,na,Fabaceae,legume,na,na,na,no,5000,7,na,3,4,na,7,3,yes,no,no,no,no,NA,4,NA,no,no,no,no,no
Lysimachia_nummularia,http://www.worldfloraonline.org/taxon/wfo-0000442792,na,Primulaceae,herb,na,na,na,no,na,4,6,4,6,1,na,na,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Lysimachia_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000442301,na,Primulaceae,herb,na,na,na,no,na,6,na,na,8,1,na,na,yes,no,no,no,no,4,NA,NA,no,no,no,no,no
